Log file open, 03/16/15 15:21:07
LogInit:Display: Running engine for game: KodainaKingdom
LogInit: Version: 4.7.2-2467323+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar  2 2015 23:16:34
[2015.03.16-19.35.02:320][162]PIE: Info Play in editor start time for /Game/Maps/UEDPIE_0_TestLevel 2.844
[2015.03.16-19.35.07:513][419]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x0000005AC8FD6980
[2015.03.16-19.35.08:612][465]Cmd: OBJ SAVEPACKAGE PACKAGE="/Game/Maps/TestLevel" FILE="../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Maps/TestLevel.umap" SILENT=true AUTOSAVING=false KEEPDIRTY=false
[2015.03.16-19.35.09:311][465]LogSavePackage: Save=362.706787ms
[2015.03.16-19.35.09:311][465]LogSavePackage: Moving '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Saved/TestLevelE03449AD4BF008F684BFEF8E3D7550C9.tmp' to '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Maps/TestLevel.umap'
[2015.03.16-19.35.09:397][465]LogFileHelpers: Saving map 'TestLevel' took 1.018
[2015.03.16-19.35.15:141][776]Cmd: OBJ SAVEPACKAGE PACKAGE="/Game/Blueprints/BattleHUD" FILE="../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/BattleHUD.uasset" SILENT=true
[2015.03.16-19.35.16:671][776]LogSavePackage: Save=1223.690186ms
[2015.03.16-19.35.16:671][776]LogSavePackage: Moving '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Saved/BattleHUDFDD7AAAC49FF72977E2804944E05F7E8.tmp' to '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/BattleHUD.uasset'
[2015.03.16-19.35.22:996][133]Cmd: OBJ SAVEPACKAGE PACKAGE="/Game/Blueprints/BattleHUD" FILE="../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/BattleHUD.uasset" SILENT=true
[2015.03.16-19.35.24:543][133]LogSavePackage: Save=1240.069702ms
[2015.03.16-19.35.24:543][133]LogSavePackage: Moving '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Saved/BattleHUDE5E494914025C61CB264B7A5B4E068C7.tmp' to '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/BattleHUD.uasset'
[2015.03.16-19.35.46:888][131]Cmd: OBJ SAVEPACKAGE PACKAGE="/Game/Blueprints/BattleHUD" FILE="../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/BattleHUD.uasset" SILENT=true
[2015.03.16-19.35.48:427][131]LogSavePackage: Save=1229.867554ms
[2015.03.16-19.35.48:427][131]LogSavePackage: Moving '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Saved/BattleHUD6DEBF0B648726165025478BE0178C3BD.tmp' to '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/BattleHUD.uasset'
[2015.03.16-19.35.48:927][157]BlueprintLog: New page: Compile BattleHUD
[2015.03.16-19.35.49:792][157]BlueprintEditorCompileResults: Info [0883.01] Compile of BattleHUD successful! [in 863 ms]
[2015.03.16-19.35.54:050][373]BlueprintLog: New page: Pre-PIE auto-recompile
[2015.03.16-19.35.54:058][373]LogPlayLevel: [PIE] Compiling Enemy before PIE...
[2015.03.16-19.35.54:448][373]LogPlayLevel: [PIE] Compiling MyCharacter before PIE...
[2015.03.16-19.35.55:700][373]LogPlayLevel: [PIE] Compiling TestLevel before PIE...
[2015.03.16-19.35.55:862][373]LogPlayLevel: [PIE] Compiling BattleHUD before PIE...
[2015.03.16-19.35.56:730][373]LogPlayLevel: [PIE] Compiling RollingMovingHUD before PIE...
[2015.03.16-19.35.56:909][373]LogPlayLevel: [PIE] Compiling InventoryHUD before PIE...
[2015.03.16-19.35.57:151][373]LogPlayLevel: [PIE] Compiling StatusHUD before PIE...
[2015.03.16-19.35.57:382][373]LogPlayLevel: PIE:  Blueprint regeneration took 3332 ms (7 blueprints)
[2015.03.16-19.35.57:382][373]PIE: New page: PIE session: TestLevel (Mar 16, 2015, 11:35:57 AM)
[2015.03.16-19.35.57:398][373]LogBlueprint:Warning: FMemberReference::ResolveMember (ClearAllHuds) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:398][373]LogBlueprint:Warning: FMemberReference::ResolveMember (ClearAllHuds) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:398][373]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:398][373]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:398][373]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:398][373]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:398][373]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:398][373]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:398][373]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:398][373]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:399][373]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:399][373]LogBlueprint:Warning: FMemberReference::ResolveMember (PossessPlayer) bSelfContext == true, but no scope supplied!
[2015.03.16-19.35.57:401][373]LogPlayLevel: PIE: StaticDuplicateObject took: (0.018777s)
[2015.03.16-19.35.57:402][373]LogPlayLevel: PIE: World Init took: (0.000475s)
[2015.03.16-19.35.57:402][373]LogPlayLevel: PIE: Created PIE world by copying editor world from /Game/Maps/TestLevel.TestLevel to /Game/Maps/UEDPIE_0_TestLevel.TestLevel (0.019409s)
[2015.03.16-19.35.57:444][373]LogWorld: Game class is 'Kodaina_C'
[2015.03.16-19.35.57:446][373]LogAIModule: Creating AISystem for world TestLevel
[2015.03.16-19.35.57:462][373]LogWorld: Bringing World /Game/Maps/UEDPIE_0_TestLevel.TestLevel up for play (max tick rate 60) at 2015.03.16-15.35.57
[2015.03.16-19.35.57:466][373]LogWorld: Bringing up level for play took: 0.019356
[2015.03.16-19.35.57:477][373]PIE: Info Play in editor start time for /Game/Maps/UEDPIE_0_TestLevel 4.002
[2015.03.16-19.36.05:460][779]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x0000005AE5FC6A20
[2015.03.16-19.36.06:502][820]Cmd: OBJ SAVEPACKAGE PACKAGE="/Game/Maps/TestLevel" FILE="../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Maps/TestLevel.umap" SILENT=true AUTOSAVING=false KEEPDIRTY=false
[2015.03.16-19.36.07:202][820]LogSavePackage: Save=360.494141ms
[2015.03.16-19.36.07:202][820]LogSavePackage: Moving '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Saved/TestLevelF45D35B7440E0ABABCFA5D94F0441A1A.tmp' to '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Maps/TestLevel.umap'
[2015.03.16-19.36.07:298][820]LogFileHelpers: Saving map 'TestLevel' took 1.028
[2015.03.16-19.36.17:389][328]Cmd: OBJ SAVEPACKAGE PACKAGE="/Game/Blueprints/BattleHUD" FILE="../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/BattleHUD.uasset" SILENT=true
[2015.03.16-19.36.18:904][328]LogSavePackage: Save=1210.137451ms
[2015.03.16-19.36.18:904][328]LogSavePackage: Moving '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Saved/BattleHUD24C96F4D43A17EDC38FA13B8B4D86CD0.tmp' to '../../../../../../../Users/Owner/Documents/Unreal Projects/Kodaina/Content/Blueprints/BattleHUD.uasset'
[2015.03.16-19.36.33:552][ 15]BlueprintLog: New page: Compile BattleHUD
[2015.03.16-19.36.34:414][ 15]BlueprintEditorCompileResults: Info [0927.64] Compile of BattleHUD successful! [in 862 ms]
[2015.03.16-19.37.19:731][768]BlueprintLog: New page: Compile BattleHUD
[2015.03.16-19.37.20:347][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  Get txtLine4 
[2015.03.16-19.37.20:348][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  Get txtLine3 
[2015.03.16-19.37.20:348][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  Get txtLine2 
[2015.03.16-19.37.20:348][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  Get txtLine1 
[2015.03.16-19.37.20:365][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:365][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:365][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:365][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:365][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:365][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:365][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:366][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:366][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:366][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:367][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:367][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:368][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:369][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:369][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:369][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:369][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:369][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:369][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:369][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:370][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:370][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:370][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:370][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:370][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:371][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:371][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:371][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:371][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:371][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:371][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:371][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:372][768]LogBlueprint:Warning: [compiler] Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:442][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 3  could not be found
[2015.03.16-19.37.20:442][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 4  could not be found
[2015.03.16-19.37.20:442][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 2  could not be found
[2015.03.16-19.37.20:442][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:442][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:442][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 2  could not be found
[2015.03.16-19.37.20:443][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 3  could not be found
[2015.03.16-19.37.20:443][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 4  could not be found
[2015.03.16-19.37.20:443][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:443][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 2  could not be found
[2015.03.16-19.37.20:443][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 3  could not be found
[2015.03.16-19.37.20:443][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 4  could not be found
[2015.03.16-19.37.20:444][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 4  could not be found
[2015.03.16-19.37.20:444][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 3  could not be found
[2015.03.16-19.37.20:444][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 2  could not be found
[2015.03.16-19.37.20:444][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:445][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:445][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:446][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:447][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 4  could not be found
[2015.03.16-19.37.20:447][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:448][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:448][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 3  could not be found
[2015.03.16-19.37.20:448][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 2  could not be found
[2015.03.16-19.37.20:448][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:449][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:449][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 2  could not be found
[2015.03.16-19.37.20:449][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 3  could not be found
[2015.03.16-19.37.20:449][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 4  could not be found
[2015.03.16-19.37.20:449][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:449][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 2  could not be found
[2015.03.16-19.37.20:450][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 3  could not be found
[2015.03.16-19.37.20:450][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 4  could not be found
[2015.03.16-19.37.20:453][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 1  could not be found
[2015.03.16-19.37.20:453][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 2  could not be found
[2015.03.16-19.37.20:453][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 3  could not be found
[2015.03.16-19.37.20:453][768]LogBlueprint:Error: [compiler] Error The property associated with  Txt Line 4  could not be found
[2015.03.16-19.37.20:839][768]LogBlueprint:Warning: [compiler] Warning [0974.06] Compile of BattleHUD failed. 37 Fatal Issue(s) 37 Warning(s) [in 1,107 ms]
[2015.03.16-19.37.20:839][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  Get txtLine4 
[2015.03.16-19.37.20:839][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  Get txtLine3 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  Get txtLine2 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  Get txtLine1 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  clearTextBoxes 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:840][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine1" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine4" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine3" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
[2015.03.16-19.37.20:841][768]BlueprintEditorCompileResults:Warning: Warning Could not find a variable named "txtLine2" in 'BattleHUD_C'.
Make sure 'BattleHUD_C' has been compiled for  MessageBoxExecOnEnd 
